% ************************************************************************
%   boehm08
%   This subroutine provides, in time domain, the diurnal/subdiurnal
%   tidal effets on polar motion ("), UT1 (s) and LOD (s). The tidal terms,
%   listed in the program, have been estimated from VLBI-derived PM, UT1
%   variations (OCCAM). Corrections to Nutation/Precession model were not
%   applied during derivation of this model.
%   These terms contain all diurnal and subdiurnal variations (including
%   the effect of the triaxiality of the Earth on PM (pm_gravi) and UT1).
% 
% 		* do not apply pm_gravi and spinlibV when using this model! * 
%     
%   N.B.:  The fundamental lunisolar arguments are those of Simon et al.  
% 
%   These values should be used in the subroutine eop_eanes.m.
%
%   Reference:
%		S. Englich, R. Heinkelmann, H. Schuh: "Re-assessment of Ocean Tidal Terms 
%   in High-Frequency Earth Rotation Variations Observed by VLBI";
%   IVS General Meeting Proceedings, ISBN 978-5-02-025332-2 (2008), S. 314 - 318.
%
%   Coded for VieVS: 
%   19 Sep 2009 by Sigrid Böhm
%
%   Revision: 
%   26 May 2010 by Lucia Plank: changed function to table
%
% *************************************************************************
%      
%   Oceanic tidal terms present in x (microas),y(microas),ut1(microseconds)       
%   NARG(j,6) : Multipliers of GMST+pi and Delaunay arguments. 
%	
% 
     2,-2, 0,-2, 0,-2,  -9.23,  -2.36,  -0.43,  17.11,  -0.74, -0.14   
     2, 0, 0,-2,-2,-2, -11.95,  -3.50,   3.17,   4.92,  -0.61, -0.60   
     2, 0, 1,-2,-2,-2,  -1.96,   3.70,  -2.21,   2.94,   0.05, -0.09   
     2,-1,-1,-2, 0,-2,  -1.35,   1.08,   1.50,   0.63,  -0.11, -0.07   
     2,-1, 0,-2, 0,-1,   2.70,   2.41,   1.29,  -3.63,   0.06,  0.21   
     2,-1, 0,-2, 0,-2, -50.67,  -5.19,  13.64,  23.63,  -3.13, -2.04   
     2,-1, 1,-2, 0,-2,   0.26,  -4.70,   6.53,   0.42,  -0.17,  0.26   
     2, 1, 0,-2,-2,-2, -10.13,  -2.65,   7.52,   4.28,  -0.51, -0.22   
     2, 1, 1,-2,-2,-2,   1.03,   6.51,  -1.29,  -0.32,  -0.01, -0.12   
     2,-2, 0,-2, 2,-2,   4.77,   3.57,   3.46,   1.86,  -0.02,  0.04   
     2, 0,-1,-2, 0,-2,  -0.19,   3.71,   2.93,   2.98,   0.15, -0.18   
     2, 0, 0,-2, 0,-1,  18.90,   6.82,  -0.01,   2.39,   0.62,  0.55   
     2, 0, 0,-2, 0,-2,-300.25, -18.20,  48.00, 160.50, -14.50, -9.27   
     2, 0, 1,-2, 0,-2,   3.06,   5.51,   3.50,  -1.38,   0.00,  0.24   
     2,-1, 0,-2, 2,-2,  -4.71,   0.72,  -2.44,   3.49,  -0.01,  0.13   
     2, 1, 0,-2, 0,-2,  10.41,  -0.65,  -0.80,  -7.01,   0.21,  0.15   
