## Master file format version 1.0           2001.08.21 CCT&NRV

                         1997 MULTI-AGENCY SCHEDULE

                     Last Updated - December 27, 2007 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|NAVEX-S13 |NAXS13|APR21|111|12:00|28|ApGcGnKkMcNyOn               |USNO|WASH|       |    | XO |USNO|     |    |
|NEOS-A208 |NA208 |APR22|112|18:00|24|FtGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|NAVEX-S14 |NAXS14|APR28|118|12:00|28|ApGcGnKkNtNyOn               |USNO|WASH|Wt_set |    | XO |USNO|     |    |
|NEOS-A209 |NA209 |APR29|119|18:00|24|ApFtGcGnKkWz                 |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B304 |CB304 |APR30|120|18:30|24|FtGcGnKkNtYk                 |NASA|WASH|       |    | XA |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-S114 |IS114 |MAY05|125|12:00|24|GcHhWfWz                     |BONN|BONN|       |    | XH |BONN|     |    |
|CORE-A009 |CA009 |MAY06|126|18:00|24|GcHhHoWf                     |NASA|WASH|       |    | XA |NASA|     |    |
|NEOS-A210 |NA210 |MAY06|126|18:00|24|FtGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|BB023L    |BB023L|MAY07|127|06:00|24|Va                           |VLBA|VLBA|       |    | XV |NASA|     |    |
|NEOS-A211 |NA211 |MAY13|133|18:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B202 |CB202 |MAY14|134|18:30|24|45FtGcKaKkMcNySm             |NASA|HAYS|       |    | XA |NASA|     |    |
|VLBA3     |RDV03 |MAY19|139|14:00|24|GcGgGnKkMcOnVaWf             |NASA|VLBA|       |    | XB |NASA|     |    |
|CORE-A010 |CA010 |MAY20|140|18:00|24|GcHhHoMaWf                   |NASA|BONN|       |    | XA |NASA|     |    |
|NEOS-A212 |NA212 |MAY20|140|18:00|24|FtGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|NEOS-A213 |NA213 |MAY27|147|18:00|24|FtGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|JADE-9701 |JD9701|MAY28|148|03:00|24|KaS3                         |GSI |GSI |97JUN09|    | XF |GSI |     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-S115 |IS115 |JUN02|153|12:00|24|GcHhWfWz                     |BONN|BONN|       |    | XH |BONN|     |    |
|CORE-A011 |CA011 |JUN03|154|18:00|24|GcHhHoMaWf                   |NASA|BONN|       |    | XA |NASA|     |    |
|NEOS-A214 |NA214 |JUN03|154|18:00|24|GnKkNyWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|NEOS-A215 |NA215 |JUN10|161|18:00|24|ApGcGnKkWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|EUROPE-37 |EURO37|JUN16|167|14:00|24|MaMcNtNyOnSmWzYb             |BONN|BONN|       |    | XA |BONN|     |    |
|CORE-A012 |CA012 |JUN17|168|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|NEOS-A216 |NA216 |JUN17|168|18:00|24|GnKkNyWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|NEOS-A217 |NA217 |JUN24|175|18:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
----------------------------------------------------------------------------------------------------------------
|CORE-A013 |CA013 |JUL01|182|18:00|24|GcHhHoMaWf                   |NASA|HAYS|       |    | XA |NASA|     |    |
|NEOS-A218 |NA218 |JUL01|182|18:00|24|GnKkNyWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|BB023M    |BB023M|JUL02|183|06:00|24|Va                           |VLBA|VLBA|       |    | XV |NASA|     |    |
|MARS-3    |MARS03|JUL04|185|21:00|9 |ApEbGcGnKkWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|MARS-4    |MARS04|JUL05|186|21:00|9 |ApEbGcGnKkWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|NEOS-A219 |NA219 |JUL08|189|18:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B203 |CB203 |JUL09|190|18:30|24|GcKaKkMc                     |NASA|WASH|       |    | XA |NASA|     |    |
|IRIS-S116 |IS116 |JUL14|195|12:00|24|GcHhWfWz                     |BONN|BONN|       |    | XH |BONN|     |    |
|CORE-A014 |CA014 |JUL15|196|18:00|24|GcHhHoMaWf                   |NASA|WASH|       |    | XA |NASA|     |    |
|NEOS-A220 |NA220 |JUL15|196|18:00|24|ApGnKkNyWz                   |USNO|WASH|       |    | XE |USNO|     |    |
|MARS-05   |MARS05|JUL17|198|02:00|3 |GcHhHoKkMcWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|JADE-9702 |JD9702|JUL17|198|05:31|24|AiKa                         |GSI |GSI |97AUG01|    | XF |GSI |     |    |
|MARS-06   |MARS06|JUL18|199|05:00|3 |GcHhHoKkMcWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|MARS-07   |MARS07|JUL19|200|06:00|3 |GcHhHoKkMcWz                 |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|MARS-08   |MARS08|JUL20|201|06:00|3 |HhHoKkMcWz                   |NASA|HAYS|Wt_set |    | XA |NASA|     |    |
|NEOS-A221 |NA221 |JUL22|203|18:00|24|GcGnKkWz                     |USNO|WASH|       |    | XE |USNO|     |    |
|CORE-B104 |CB104 |JUL23|204|18:30|24|ApGcKaOn                     |NASA|HAYS|       |    | XA |NASA|     |    |
