Created on 16.08.2025 at 15:57:24 local time




---------------------------------------------------------------------------------------------------------------------------------------------------
ICRF  Designation     IERS Des. Inf. Right Ascension   Declination         Uncertainty            Corr.   Mean     First    Last      Nb     Nb     IVS name
                                         J2000.0         J2000.0           R.A.      Dec.         RA-Dc   MJD      MJD      MJD       sess.  obs.       
                                      h  m  s           o  m  as           s         as                   of observation span               
---------------------------------------------------------------------------------------------------------------------------------------------------
ICRF J000743.8+022632  0005+021     00 07 43.84019566   02 26 32.2499525  0.00002417 0.0009027   0.392  59477.3 58512.3 60425.9      8    220      0005+021
ICRF J000748.4+570610  0005+568     00 07 48.46861996   57 06 10.4391748  0.00000526 0.0000564  -0.072  57833.8 49576.0 58644.9      5    395      0005+568
ICRF J000755.6+102744  0005+101     00 07 55.67835811   10 27 44.2983109  0.00000683 0.0002291  -0.010  59773.4 59402.8 59951.1      5    322      0005+101
ICRF J000800.3-233918  0005-239     00 08 00.36961398  -23 39 18.1499229  0.00000540 0.0001631  -0.306  56114.2 50631.3 58669.6      9    356      0005-239
ICRF J000800.8+114400  0005+114     00 08 00.83825432   11 44 00.7747123  0.00000650 0.0001658  -0.174  57392.4 52408.7 58512.3      5    465      0005+114
ICRF J000826.2-255911  0005-262     00 08 26.25249917  -25 59 11.5405489  0.00000665 0.0002280  -0.200  56114.5 50631.3 58669.6      6    340      0005-262
ICRF J000828.0-132930  0005-137     00 08 28.01684091  -13 29 30.5739544  0.00000734 0.0002507   0.108  60268.4 60129.7 60448.8      2    191      0005-137
ICRF J000833.4+683722  0005+683     00 08 33.47286928   68 37 22.0486774  0.00002910 0.0001710  -0.231  58420.6 49826.5 60472.1      9    298      0005+683
ICRF J000833.6-360125  0006-363     00 08 33.66112305  -36 01 25.0341515  0.00002451 0.0008875   0.743  58356.3 53551.8 60323.7      9    285      0006-363
ICRF J000903.9+062821  0006+061     00 09 03.93184982   06 28 21.2401752  0.00000462 0.0001360   0.083  56897.1 52408.7 59190.8      6    469      0006+061
ICRF J000904.1+400146  0006+397     00 09 04.17358167   40 01 46.7055698  0.00000475 0.0000786   0.074  56634.5 50241.8 58669.6      5    414      0006+397
ICRF J000917.0+062554  0006+06A     00 09 17.05517384   06 25 54.7479296  0.00000435 0.0001388  -0.242  59731.0 59402.8 59951.1      5    368      0006+06A
ICRF J000934.8+180343  0007+177     00 09 34.86049506   18 03 43.0133489  0.00000421 0.0001362  -0.262  60117.4 59867.7 60530.8      4    303      0007+177
ICRF J000935.5-321636  0007-325     00 09 35.55775408  -32 16 36.9293125  0.00000874 0.0002811  -0.265  57675.3 54964.8 58746.6      6    293      0007-325
ICRF J000943.0+772442  0006+771     00 09 43.09194733   77 24 42.0045211  0.00007170 0.0002206   0.091  58151.6 57914.1 59405.2      4    218      0006+771
ICRF J000948.2+760318  0007+757     00 09 48.23424698   76 03 18.1644367  0.00004741 0.0001577   0.340  59119.5 57868.7 60623.9      8    356      0007+757
ICRF J000958.6+015755  0007+016     00 09 58.65774186   01 57 55.1496232  0.00000852 0.0002402   0.033  59190.2 58169.7 60799.7      7    562      0007+016
ICRF J001000.3-043348  0007-048     00 10 00.38866330  -04 33 48.5069883  0.00000309 0.0001067  -0.120  58059.3 57103.0 58829.4      6    335      0007-048
