% Reference: Hana Spicakova, J. Böhm, L. Plank, T. Nilsson, H. Schuh. Atmospheric Effects on VLBI-derived
% Terrestrial and Celestial Reference Frames. International Association of Geodesy Symposia. Editors Chris Rizos,
% Pascal Willis. ISSN: 0939-9585. (submitted)
% (IUGG Melbourne 28 June - 07 July, 2011)




% station          x [m]           y [m]         z [m]            vx [m/y]    vy [m/y]    vz [m/y]      epoch   start    end 

ZELENCHK       3451207.8131    3060375.2249    4391914.9284        -0.0216      0.0142      0.0100      51544       0   54282 
ZELENCHK       3451207.8220    3060375.2292    4391914.9283        -0.0216      0.0142      0.0100      51544   54282   99999 
BADARY         -838200.7121    3865751.5778    4987670.9223        -0.0271     -0.0012     -0.0009      51544       0   99999 
RICHMOND        961258.0220   -5674090.0389    2740533.8048        -0.0098      0.0006      0.0012      51544       0   99999 
HRAS 085      -1324211.0431   -5332023.1535    3232118.3301        -0.0133     -0.0009     -0.0062      51544       0   99999 
OVRO 130      -2409600.8699   -4478349.4250    3838603.1753        -0.0158      0.0111     -0.0044      51544       0   99999 
HAYSTACK       1492404.6785   -4457266.4990    4296881.7740        -0.0160      0.0011      0.0028      51544       0   99999 
MOJAVE12      -2356171.0974   -4646755.8219    3668470.5813        -0.0149      0.0069     -0.0035      51544       0   48800 
MOJAVE12      -2356171.1200   -4646755.8307    3668470.5773        -0.0149      0.0069     -0.0035      51544   48800   99999 
KASHIMA       -3997892.2798    3276581.2987    3724118.2190        -0.0014      0.0057     -0.0075      51544       0   55631 
KAUAI         -5543846.0862   -2054563.4470    2387814.2166        -0.0090      0.0644      0.0332      51544       0   99999 
KWAJAL26      -6143536.2505    1363997.9724    1034707.7792         0.0211      0.0685      0.0299      51544       0   99999 
VNDNBERG      -2678095.0393   -4525450.4874    3597410.4119        -0.0304      0.0297      0.0218      51544       0   99999 
HATCREEK      -2523970.0785   -4123506.2595    4147752.4939        -0.0173      0.0097     -0.0093      51544       0   99999 
NRAO85 3        882325.5281   -4925137.9887    3943397.6795        -0.0143     -0.0006      0.0017      51544       0   48226 
NRAO85 3        882325.5181   -4925137.9937    3943397.6855        -0.0143     -0.0006      0.0017      51544   48226   99999 
SANTIA12       1769693.1847   -5044504.5611   -3468434.9275         0.0231     -0.0056      0.0108      51544       0   99999 
MIAMI20         961255.2991   -5674092.5913    2740533.8023        -0.0098      0.0006      0.0012      51544       0   99999 
