GRASSE     43.75    6.92 1318.64   -0.01   -0.46   -0.24    0.48    0.09    0.36   -0.01    0.07   -0.62    0.09   -0.10    0.02 
HALEAKAL   20.71  203.74 3067.82    0.48    0.60    0.54    0.97   -0.04   -0.16   -0.02    0.04    0.56   -0.23   -0.00   -0.02 
HARTRAO   -25.89   27.69 1415.71   -0.54   -0.93    0.48    0.71   -0.07   -0.14   -0.08   -0.05   -0.53    0.25   -0.10    0.09 
HATCREEK   40.82  238.53 1009.28    0.45    0.44    0.57   -0.04   -0.32   -0.18   -0.02   -0.00    0.27   -0.52    0.01   -0.03 
HAYSTACK   42.62  288.51  116.69    0.58   -0.04   -0.14   -0.55   -0.35    0.12   -0.06   -0.01   -0.21   -0.57   -0.02   -0.04 
HN-VLBA    42.93  288.01  295.56    0.58   -0.04   -0.13   -0.54   -0.35    0.12   -0.06   -0.01   -0.20   -0.57   -0.02   -0.04 
HOBART26  -42.80  147.44   65.11   -0.30    0.40   -0.60    0.11   -0.17    0.29    0.02    0.04    0.53    0.33    0.07   -0.04 
HOFN       64.27  344.80   78.27    0.08   -0.06   -0.24    0.08   -0.11    0.52   -0.01    0.07   -0.64   -0.17   -0.08    0.01 
HOHENFRG   53.05   10.48  149.81   -0.03   -0.30   -0.15    0.32    0.12    0.43    0.01    0.07   -0.61    0.12   -0.08    0.03 
HOHNBERG   47.80   11.02 1005.73   -0.05   -0.40   -0.15    0.42    0.12    0.39    0.00    0.07   -0.61    0.13   -0.09    0.03 
HRAS_085   30.64  256.05 1595.09    0.89    0.40    0.69   -0.52   -0.26   -0.08   -0.02   -0.02    0.09   -0.56    0.01   -0.02 
JPL_MV1    34.21  241.83  424.08    0.53    0.51    0.75   -0.13   -0.28   -0.15   -0.01   -0.01    0.23   -0.53    0.01   -0.02 
KAINAN     34.16  135.23   60.44   -0.45    0.53   -0.70   -0.21    0.23   -0.21   -0.06   -0.05    0.44    0.44    0.09   -0.03 
KANOZAN    35.26  139.95  373.26   -0.38    0.53   -0.70   -0.10    0.22   -0.24   -0.06   -0.04    0.48    0.41    0.09   -0.03 
KARLBURG   53.98   13.61   77.10   -0.04   -0.29   -0.11    0.31    0.15    0.43    0.02    0.07   -0.61    0.15   -0.08    0.04 
KASHIM11   35.96  140.66   62.45   -0.36    0.52   -0.68   -0.08    0.22   -0.25   -0.06   -0.04    0.48    0.41    0.09   -0.03 
KASHIM34   35.96  140.66   78.41   -0.36    0.52   -0.68   -0.08    0.22   -0.25   -0.06   -0.04    0.48    0.41    0.09   -0.03 
KASHIMA    35.95  140.66   80.10   -0.36    0.52   -0.68   -0.08    0.22   -0.25   -0.06   -0.04    0.48    0.41    0.09   -0.03 
KAUAI      22.13  200.33 1168.32    0.42    0.60    0.41    0.99   -0.03   -0.18   -0.03    0.04    0.57   -0.20   -0.00   -0.03 
