This file was produced by gsnoop                                                                                                 
Using spoolfile:  /500/solutions/2015a_astro/Dec-18/2015a_astro_minus3.spl                                                       
                                                                                                                                 
 VLBI source positions for epoch  51544.5 MJD                                                                                    
                                                                                                                                 
source name      |Right  Ascension |  Declination    |  Uncertainties     | cor  | mean  | first | last  |  observations         
IAU name|IVS name|Hr|Mn|  Seconds  |Deg|Mn| Seconds  |  Unc RA  |Unc Dec  |Ra-Dc |  MJD  |  MJD  |  MJD  |sess |delay |rates     
        |        |  |  |           |   |  |          |          |         |      |       |       |      |     |      |           
0        0008-300 00 10 45.17732214 -29 45 13.1774934 0.00002747 0.0014139 -.3630 54163.5 54088.1 55784.7     2     45      0 GLO
0        0008-421 00 10 52.51786372 -41 53 10.7774826 0.00012940 0.0028818 -.0900 50998.2 48162.4 52409.7     5     22      0 GLO
0        0008-222 00 10 53.64998946 -21 57  4.2205976 0.00000489 0.0001719 0.1121 52662.7 50632.3 56818.4     3    197      0 GLO
0        0008-264 00 11  1.24674037 -26 12 33.3770708 0.00000161 0.0000221 -.0741 55376.4 47686.1 57336.7   158   2165      0 GLO
0        0008+006 00 11 30.40318645  00 57 51.8769093 0.00000771 0.0002182 0.1983 56818.4 56818.4 56818.4     1     64      0 GLO
0        0008+704 00 11 31.90281064  70 45 31.6261850 0.00002113 0.0000967 0.2657 53090.7 49827.5 56879.0     2    188      0 GLO
0        0009+081 00 11 35.26963151  08 23 55.5860113 0.00000585 0.0001912 -.4963 52574.8 49914.7 53609.2     2    100      0 GLO
0        0009-148 00 11 40.45585425 -14 34  4.6343634 0.00001471 0.0003947 0.3370 55905.7 54112.8 56879.0     2    108      0 GLO
0        0009+467 00 12 29.30290455  47 04 34.7378387 0.00001493 0.0001618 0.0815 55797.6 53573.0 56879.0     2    107      0 GLO
0        0009+655 00 12 37.67072717  65 51 10.8222806 0.00007730 0.0004877 -.1503 56284.0 53153.2 57012.1     2     53      0 GLO
0        0010+336 00 12 47.38218327  33 53 38.4717223 0.00001491 0.0003140 -.3871 54700.2 53503.7 56662.4     2     66      0 GLO
0        0010-401 00 12 59.90982191 -39 54 26.0558269 0.00000881 0.0002850 0.2381 54610.8 52306.7 56879.0     3     86      0 GLO
0        0010+463 00 13 16.48887399  46 36  8.6701229 0.00001446 0.0001340 0.0706 54647.9 50306.3 56879.0     2    109      0 GLO
0        0010-155 00 13 20.70180022 -15 13 47.7850493 0.00000910 0.0002754 0.2480 56365.7 54088.1 56879.0     2     87      0 GLO
0        0010+405 00 13 31.13020253  40 51 37.1441078 0.00000121 0.0000198 -.1678 54280.1 48434.7 57274.7    56   2464      0 GLO
0        0011-046 00 13 54.13095519 -04 23 52.2945138 0.00000661 0.0002367 -.3573 52072.0 50576.2 56662.4     2    118      0 GLO
0        0011+189 00 13 56.37612380  19 10 41.9155994 0.00000773 0.0002141 0.0565 53701.7 50085.5 56809.7     3    166      0 GLO
0        0012+610 00 14 48.79206399  61 17 43.5420688 0.00005731 0.0002594 0.5305 54342.7 52409.7 56662.4     2     33      0 GLO
0        0012-184 00 15  2.49202152 -18 12 50.8832675 0.00000560 0.0001794 0.2926 52863.9 50632.3 56879.0     3    203      0 GLO
0        0012+319 00 15  6.14741033  32 16 13.3096176 0.00000890 0.0002119 -.2206 54016.2 53523.9 56662.4     2    102      0 GLO
0        0013-184 00 15 34.32451337 -18 07 25.5871439 0.00001210 0.0003859 -.0064 56264.3 54112.8 56879.0     2     90      0 GLO
0        0013-240 00 16  5.73862337 -23 43 52.2000441 0.00002505 0.0009183 0.2900 56818.4 56818.4 56818.4     1     58      0 GLO
0        0013-005 00 16 11.08855273 -00 15 12.4454732 0.00000157 0.0000358 -.0954 52760.2 47394.1 57218.7    89   1233      0 GLO
         0014+813 00 17  8.47491308 +81 35  8.1364764 0.00005484 0.0002174 0.0000 52179.8 47023.3 57336.2  1303  72936      0 ARC
0        0015-054 00 17 35.81718761 -05 12 41.7675501 0.00000847 0.0002971 -.3276 54910.2 53561.9 57160.0     3     93      0 GLO
0        0015+529 00 17 51.75985116  53 12 19.1214569 0.00002031 0.0001679 -.3405 51313.6 49577.0 56662.4     2    102      0 GLO
0        0015-280 00 17 59.00598564 -27 48 21.5743582 0.00001215 0.0004509 0.4251 55830.0 53573.0 56879.0     2    104      0 GLO
0        0017+296 00 19 37.79033406  29 56  1.9218448 0.00003372 0.0006864 -.3958 56809.7 56809.7 56809.7     1     58      0 GLO
0        0017+200 00 19 37.85449946  20 21 45.6445700 0.00000049 0.0000062 0.0242 56808.4 50085.5 57336.7   115  11210      0 GLO
0        0017+257 00 19 39.78059230  26 02 52.2773897 0.00000428 0.0001097 -.0559 54527.9 50219.8 56809.7     4    217      0 GLO
0        0017-307 00 19 42.67531211 -30 31 19.3484827 0.00000827 0.0002638 0.4261 54943.0 52306.7 56879.0     2    111      0 GLO
0        0016+731 00 19 45.78636553  73 27 30.0175663 0.00000052 0.0000023 -.0486 54188.3 44343.6 57330.7   745  86695      0 GLO
0        0018+715 00 21  2.81375777  71 50 20.7705552 0.00003928 0.0001415 0.2992 54756.7 49827.5 56879.0     2    103      0 GLO
0        0018+729 00 21 27.37473308  73 12 41.9310937 0.00030422 0.0009821 0.2571 53041.4 49827.5 54112.8     2     24      0 GLO
0        0019+451 00 22  6.61133882  45 25 33.8601247 0.00000947 0.0001292 0.0837 53097.3 50306.3 56879.0     3    186      0 GLO
0        4C+00.02 00 22 25.42586233  00 14 56.1612169 0.00002017 0.0006371 -.2726 54881.2 50576.2 56818.4     2     58      0 GLO
0        0019+058 00 22 32.44121024  06 08  4.2689101 0.00000087 0.0000169 0.0230 55170.5 47394.1 57315.7   239   3686      0 GLO
0        0020+446 00 23 35.44246705  44 56 35.7583037 0.00000918 0.0001280 0.0877 54515.8 50306.3 57012.1     2    137      0 GLO
0        0021-084 00 24  0.67275397 -08 11 10.0498371 0.00000944 0.0002980 0.4732 55760.6 53153.2 56818.4     3     99      0 GLO
0        0021+464 00 24 21.53763277  46 44  6.2296407 0.00000905 0.0001214 0.0825 54497.4 50306.3 57012.1     2    144      0 GLO
