GRASSE     43.75    6.92 1318.64    0.02   -0.30   -0.23    0.59    0.05    0.24   -0.01   -0.09   -0.40    0.03    0.15    0.04 
HALEAKAL   20.71  203.74 3067.82    0.36    0.37    0.59    1.10   -0.00   -0.06   -0.06   -0.06    0.34   -0.15    0.21   -0.13 
HARTRAO   -25.89   27.69 1415.71   -0.40   -0.74    0.57    0.85   -0.03   -0.10    0.01    0.06   -0.33    0.15    0.14   -0.08 
HATCREEK   40.82  238.53 1009.28    0.28    0.35    0.65   -0.05   -0.19   -0.08   -0.16    0.01    0.16   -0.31   -0.03   -0.23 
HAYSTACK   42.62  288.51  116.69    0.41    0.05   -0.18   -0.63   -0.21    0.07   -0.01    0.13   -0.12   -0.36   -0.21    0.04 
HN-VLBA    42.93  288.01  295.56    0.41    0.05   -0.17   -0.63   -0.21    0.07   -0.02    0.13   -0.11   -0.36   -0.21    0.03 
HOBART26  -42.80  147.44   65.11   -0.17    0.25   -0.60    0.09   -0.09    0.16   -0.10    0.02    0.31    0.17    0.08    0.19 
HOFN       64.27  344.80   78.27    0.05    0.05   -0.25    0.12   -0.07    0.35    0.07   -0.03   -0.41   -0.14    0.04    0.11 
HOHENFRG   53.05   10.48  149.81    0.00   -0.16   -0.13    0.41    0.07    0.30   -0.01   -0.09   -0.39    0.05    0.13    0.02 
HOHNBERG   47.80   11.02 1005.73   -0.00   -0.25   -0.13    0.52    0.07    0.27   -0.02   -0.09   -0.39    0.06    0.14    0.01 
HRAS_085   30.64  256.05 1595.09    0.68    0.37    0.77   -0.61   -0.15   -0.03   -0.12    0.06    0.06   -0.31   -0.15   -0.19 
JPL_MV1    34.21  241.83  424.08    0.35    0.42    0.84   -0.16   -0.16   -0.06   -0.14    0.02    0.13   -0.31   -0.05   -0.24 
KAINAN     34.16  135.23   60.44   -0.30    0.40   -0.75   -0.29    0.12   -0.13    0.06    0.02    0.27    0.28   -0.04    0.19 
KANOZAN    35.26  139.95  373.26   -0.25    0.38   -0.73   -0.14    0.11   -0.14    0.07    0.00    0.29    0.25   -0.01    0.20 
KARLBURG   53.98   13.61   77.10   -0.01   -0.16   -0.09    0.39    0.09    0.30   -0.02   -0.09   -0.38    0.08    0.13    0.00 
KASHIM11   35.96  140.66   62.45   -0.23    0.37   -0.71   -0.11    0.11   -0.15    0.07    0.00    0.29    0.25   -0.00    0.20 
KASHIM34   35.96  140.66   78.41   -0.23    0.37   -0.71   -0.11    0.11   -0.15    0.07    0.00    0.29    0.25   -0.00    0.20 
KASHIMA    35.95  140.66   80.10   -0.23    0.37   -0.71   -0.11    0.11   -0.15    0.07    0.00    0.29    0.25   -0.00    0.20 
KAUAI      22.13  200.33 1168.32    0.31    0.37    0.44    1.12   -0.00   -0.07   -0.05   -0.06    0.34   -0.13    0.22   -0.10 
KIRSBERG   51.21   14.29  261.23   -0.02   -0.22   -0.08    0.45    0.09    0.29   -0.02   -0.09   -0.38    0.08    0.13   -0.00 
KODIAK     57.74  207.50   31.26    0.09    0.17    0.03    0.24   -0.16   -0.26   -0.12   -0.11    0.34   -0.17    0.13   -0.12 
KOGANEI    35.71  139.49  125.38   -0.25    0.38   -0.72   -0.16    0.12   -0.15    0.07    0.01    0.28    0.26   -0.01    0.20 
KOGANEI3   35.71  139.49  114.46   -0.25    0.38   -0.72   -0.16    0.12   -0.15    0.07    0.01    0.28    0.26   -0.01    0.20 
KOKEE      22.13  200.33 1176.60    0.31    0.37    0.44    1.12   -0.00   -0.07   -0.05   -0.06    0.34   -0.13    0.22   -0.10 
KP-VLBA    31.96  248.39 1901.99    0.52    0.44    0.86   -0.38   -0.15   -0.05   -0.13    0.04    0.10   -0.30   -0.10   -0.22 
KWAJAL26    9.40  167.48   57.40    0.02    0.55   -0.93    1.02    0.03   -0.03    0.00   -0.02    0.34    0.05    0.19    0.15 
LA-VLBA    35.78  253.75 1962.44    0.53    0.34    0.67   -0.47   -0.16   -0.03   -0.13    0.07    0.06   -0.31   -0.13   -0.19 
LEONRDOK   35.91  264.20  226.27    0.64    0.28    0.47   -0.68   -0.17   -0.01   -0.10    0.09    0.02   -0.33   -0.19   -0.14 
