% Created on 22.03.2014 at 04:24:21 local time
% Hana Krasna, Vienna University of Technology
% station          x [m]           y [m]         z [m]            vx [m/y]    vy [m/y]    vz [m/y]      epoch   start    end 

PIETOWN       -1640953.7494   -5014816.0259    3575411.8626        -0.0142     -0.0006     -0.0052      51544       0   99999 
RICHMOND        961258.0187   -5674090.0303    2740533.8051        -0.0104      0.0016      0.0015      51544       0   99999 
SANTIA12       1769693.1877   -5044504.5722   -3468434.9382         0.0229     -0.0076      0.0090      51544       0   99999 
SC-VLBA        2607848.5427   -5488069.6588    1932739.5735         0.0076      0.0089      0.0125      51544       0   99999 
SESHAN25      -2831686.9992    4675733.6304    3275327.6567        -0.0296     -0.0116     -0.0109      51544       0   99999 
SVETLOE        2730173.9133    1562442.6188    5529969.0451        -0.0181      0.0123      0.0079      51544       0   99999 
TIGOCONC       1492054.0620   -4887961.0007   -3803541.4045         0.0367     -0.0024      0.0167      51544       0   55253 
TIGOCONC       1492052.5329   -4887961.1724   -3803541.8167        -0.1159     -0.0330      0.0074      51544   55253   55604 
TIGOCONC       1492051.2406   -4887961.5020   -3803541.9842        -0.0020     -0.0045      0.0240      51544   55604   99999 
TIGOWTZL       4075572.6259     931755.1669    4801584.3893        -0.0153      0.0165      0.0103      51544       0   99999 
TRYSILNO       2988029.1814     655957.1068    5578669.2507        -0.0068      0.0095      0.0185      51544       0   99999 
TSUKUB32      -3957408.7870    3310229.4080    3737494.8050        -0.0026      0.0043     -0.0050      51544       0   51299 
TSUKUB32      -3957408.7774    3310229.4145    3737494.8073        -0.0026      0.0043     -0.0050      51544   51299   55631 
TSUKUB32      -3957408.3725    3310229.3077    3737494.8335        -0.0769     -0.0409     -0.0116      51544   55631   99999 
URUMQI          228310.6314    4631922.7817    4367064.0035        -0.0315     -0.0023      0.0054      51544       0   99999 
VNDNBERG      -2678094.9829   -4525450.4197    3597410.3725        -0.0262      0.0343      0.0204      51544       0   99999 
WARK12M       -5115323.9690     477843.2660   -3767193.0945        -0.0351      0.0022      0.0199      51544       0   99999 
WESTFORD       1492206.5443   -4458130.5210    4296015.5518        -0.0152     -0.0017      0.0041      51544       0   99999 
WETTZELL       4075539.8370     931735.3092    4801629.4010        -0.0153      0.0165      0.0103      51544       0   99999 
YARRA12M      -2388895.4227    5043349.7808   -3078591.4047        -0.0535      0.0164      0.0427      51544       0   99999 
YEBES          4848780.2778    -261702.0267    4123035.7962         0.0026      0.0176      0.0216      51544       0   99999 
YEBES40M       4848761.7977    -261484.4283    4123084.7695         0.0026      0.0176      0.0216      51544       0   99999 
YLOW7296      -1224399.6297   -2689273.2747    5633620.2698        -0.0203     -0.0048      0.0011      51544       0   99999 
ZELENCHK       3451207.8353    3060375.2373    4391914.9607        -0.0233      0.0122      0.0065      51544       0   54282 
ZELENCHK       3451207.8483    3060375.2455    4391914.9670        -0.0233      0.0122      0.0065      51544   54282   99999 
