$$ VTRF2005
$$
$$ Due to a transient post-quake behaviour of GILCREEK, this station is treated
$$ in a different way then the others !!!
$$ The position of GILCREEK is modeled to be piece-wise linear. For this
$$ reason only the coordinates of the reference epoch of the first "leg" 
$$ (1979.0.101. - 2002.11.02) are referred to 1997.0.
$$ The coordinates of each start of the linear "legs" are referred to the 
$$ respective epoch!!
$$ Coordinates of an arbitrary observing epoch can, thus, be computed 
$$ using the respective period with its coordinates at the reference epoch 
$$ and the respective velocity.
$$ 
$$ changed the line MIURA_00 added the date please recheck, Jörg Wresnik
$$  
$$            X/Vx           Y/Vy          Z/Vz               Sigmas
               -0.0317       -0.0037        0.0032   0.0001   0.0004   0.0004
USUDA64  -3855355.4192  3427427.6151  3740971.2947   0.0456   0.0421   0.0479
               -0.0046        0.0048       -0.0042   0.0066   0.0062   0.0069
VERAMZSW -3857241.8712  3108784.8129  4003900.6177   0.0045   0.0040   0.0045
                0.0054        0.0039       -0.0053   0.0007   0.0007   0.0007
VERNAL   -1631473.3756 -4589129.0056  4106759.8907   0.0254   0.0641   0.0549
               -0.0161       -0.0087       -0.0014   0.0044   0.0111   0.0095
VICTORIA -2341310.1406 -3539083.8910  4745768.3205   0.0265   0.0272   0.0274
               -0.0107       -0.0014       -0.0059   0.0048   0.0046   0.0043
VLA-N8   -1601147.7462 -5041733.5019  3555235.7640   0.0042   0.0074   0.0052
               -0.0153       -0.0002       -0.0083   0.0007   0.0010   0.0008
VNDNBERG -2678094.9485 -4525450.5775  3597410.3433   0.0051   0.0075   0.0068
               -0.0308        0.0299        0.0199   0.0009   0.0013   0.0012
WHTHORSE -2215213.2643 -2209261.1499  5540291.6411   0.1106   0.1017   0.2428
                0.0234        0.0436       -0.0860   0.0177   0.0163   0.0389
WHTHOR87 -2215213.3904 -2209261.2699  5540291.8390   0.0875   0.0810   0.1931  871201
                0.0234        0.0437       -0.0860   0.0153   0.0142   0.0338
YAKATAGA -2529744.3635 -1942091.1233  5505028.2278   0.0535   0.0436   0.1102
               -0.0223        0.0227        0.0256   0.0087   0.0071   0.0178
YAKATA87 -2529744.3947 -1942091.0832  5505028.1117   0.0427   0.0348   0.0881  871201
               -0.0223        0.0227        0.0256   0.0076   0.0062   0.0156
YEBES     4848780.2931  -261702.0786  4123035.7489   0.0010   0.0005   0.0006
               -0.0104        0.0196        0.0108   0.0003   0.0001   0.0001
YELLOWKN -1224124.6456 -2689530.6737  5633555.3233   0.0058   0.0117   0.0238
               -0.0210       -0.0042       -0.0011   0.0009   0.0016   0.0031
YLOW7296 -1224399.5732 -2689273.2637  5633620.2717   0.0003   0.0012   0.0015
               -0.0211       -0.0043       -0.0011   0.0001   0.0001   0.0002
YUMA     -2196778.0113 -4887337.1596  3448425.2479   0.0281   0.0617   0.0435
               -0.0188       -0.0117       -0.0004   0.0046   0.0101   0.0071
