FD-VLBA     30.64  -103.94  1606.43     0.84     0.39     0.87     -0.63    -0.03    -0.03      0.06    -0.33    -0.17     -0.24     0.01     0.02     -0.21    -0.05    -0.13      0.07     0.01     0.01 
FLAGSTAF    35.21  -111.63  2144.70     0.63     0.42     0.83     -0.28    -0.03    -0.03      0.10    -0.30    -0.10     -0.26     0.01     0.02     -0.23    -0.07    -0.15      0.05     0.00     0.01 
FORTLEZA    -3.88   -38.43    23.09     0.58    -0.50    -1.36     -0.49     0.01     0.02     -0.30    -0.37    -0.11      0.19     0.02     0.02      0.05    -0.05    -0.02      0.00     0.01     0.01 
FORTORDS    36.59  -121.77   250.00     0.43     0.43     0.82      0.07    -0.03    -0.03      0.16    -0.29    -0.02     -0.28     0.01     0.02     -0.23    -0.11    -0.17      0.01     0.00     0.01 
FORT_ORD    36.67  -121.77    23.89     0.43     0.44     0.83      0.07    -0.03    -0.03      0.16    -0.30    -0.02     -0.28     0.01     0.02     -0.23    -0.10    -0.17      0.01     0.00     0.01 
FTD_7900    30.64  -103.95  1583.35     0.84     0.39     0.87     -0.63    -0.03    -0.03      0.06    -0.33    -0.17     -0.24     0.01     0.02     -0.21    -0.05    -0.13      0.07     0.01     0.01 
GBT-VLBA    38.43   -79.84   823.65     0.59     0.15     0.03     -0.82    -0.00     0.03     -0.08    -0.39    -0.26     -0.08     0.01     0.02     -0.25     0.01    -0.05      0.13     0.00     0.00 
GGAO7108    39.02   -76.83    13.72     0.56     0.13    -0.05     -0.80    -0.00     0.04     -0.09    -0.41    -0.26     -0.07     0.01     0.02     -0.25     0.02    -0.04      0.13     0.00     0.00 
GIFU11      35.47   136.74    60.09    -0.27     0.40    -0.78     -0.21    -0.06    -0.06      0.32     0.33    -0.03      0.23    -0.01    -0.03      0.12    -0.15     0.10     -0.00    -0.00     0.01 
GIFU3       35.46   136.74    53.80    -0.27     0.40    -0.78     -0.21    -0.06    -0.06      0.32     0.33    -0.03      0.23    -0.01    -0.03      0.12    -0.15     0.10     -0.00    -0.00     0.01 
GILCREEK    64.98  -147.50   332.07     0.12     0.21     0.00      0.22    -0.00    -0.02      0.37    -0.16     0.12     -0.13     0.00     0.01     -0.26    -0.33    -0.14     -0.12     0.01     0.02 
GOLDMARS    35.43  -116.89  1001.38     0.56     0.46     0.87     -0.10    -0.03    -0.03      0.13    -0.31    -0.06     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.03     0.00     0.01 
GOLDVENU    35.25  -116.79  1062.93     0.56     0.46     0.87     -0.10    -0.03    -0.03      0.13    -0.31    -0.06     -0.27     0.01     0.02     -0.23    -0.09    -0.16      0.03     0.00     0.01 
GORF7102    39.02   -76.83    17.94     0.56     0.13    -0.05     -0.80    -0.00     0.04     -0.09    -0.41    -0.26     -0.07     0.01     0.02     -0.25     0.02    -0.04      0.13     0.00     0.00 
GRASSE      43.75     6.92  1318.64    -0.10    -0.38    -0.29      0.58     0.01     0.00     -0.46    -0.02     0.16      0.06     0.01     0.00      0.05     0.27     0.01     -0.05    -0.01    -0.01 
HALEAKAL    20.71  -156.26  3067.82     0.33     0.42     0.64      1.25     0.01    -0.06      0.39    -0.11     0.27     -0.13     0.00     0.01     -0.05    -0.07    -0.04     -0.07     0.00     0.00 
HARTRAO    -25.89    27.69  1415.70    -0.46    -0.80     0.58      0.91    -0.01     0.05     -0.38     0.12     0.15     -0.06     0.00    -0.01     -0.09    -0.11     0.03      0.02     0.00     0.01 
HATCREEK    40.82  -121.47  1009.27     0.42     0.39     0.71      0.06    -0.03    -0.03      0.17    -0.29    -0.01     -0.27     0.01     0.02     -0.24    -0.10    -0.16      0.01     0.00     0.01 
HAYSTACK    42.62   -71.49   116.68     0.57     0.01    -0.27     -0.79     0.01     0.08     -0.13    -0.42    -0.26     -0.04     0.01     0.02     -0.33     0.08     0.02      0.20     0.00    -0.01 
HN-VLBA     42.93   -71.99   295.56     0.45     0.08    -0.19     -0.65     0.00     0.05     -0.14    -0.41    -0.25     -0.03     0.01     0.02     -0.28     0.04    -0.02      0.14     0.00     0.00 
HOBART26   -42.80   147.44    65.09    -0.15     0.38    -0.92      0.23    -0.02     0.03      0.36     0.22     0.07      0.22    -0.01    -0.02     -0.12     0.13    -0.05      0.02     0.00    -0.01 
HOFN        64.27   -15.20    78.27    -0.01     0.02    -0.31      0.12     0.02     0.01     -0.48    -0.20     0.03      0.10     0.01     0.02     -0.10     0.36     0.09      0.02    -0.01    -0.02 
HOHENFRG    53.05    10.48   149.82    -0.10    -0.26    -0.14      0.36     0.00    -0.01     -0.45     0.01     0.14      0.03     0.01    -0.00      0.08     0.32     0.01     -0.05    -0.01    -0.02 
HRAS_085    30.64  -103.95  1595.14     0.84     0.39     0.87     -0.63    -0.03    -0.03      0.06    -0.33    -0.17     -0.24     0.01     0.02     -0.21    -0.05    -0.13      0.07     0.01     0.01 
