% Comment the tides you do not(!) want to estimate in the global solution with %
%
% tide  Multipliers of fundamental arguments
% name  GMST+pi, l, l', F, D, OM,   Num 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
term,   1, -2,  0, -2, -2, -2,      1
term,   1,  0,  0, -2, -4, -2,      2
term,   1, -3,  0, -2,  0, -1,      3
term,   1, -3,  0, -2,  0, -2,      4
term,   1, -1,  0, -2, -2, -1,      5
term,   1, -1,  0, -2, -2, -2,      6
term,   1, -1,  1, -2, -2, -2,      7
term,   1,  1,  0, -2, -4, -2,      8
term,   1, -2,  0, -2,  0, -1,      9
2Q1 ,   1, -2,  0, -2,  0, -2,     10
term,   1,  0,  0, -2, -2, -1,     11
sig1,   1,  0,  0, -2, -2, -2,     12
term,   1,  0,  1, -2, -2, -2,     13
term,   1,  2,  0, -2, -4, -2,     14
term,   1, -3,  0, -2,  2, -2,     15
term,   1, -1, -1, -2,  0, -2,     16
term,   1,  1,  0, -4,  0, -2,     17
term,   1, -1,  0, -2,  0,  0,     18
term,   1, -1,  0, -2,  0, -1,     19
Q1  ,   1, -1,  0, -2,  0, -2,     20
term,   1,  0,  0, -2, -1, -2,     21
term,   1, -1,  1, -2,  0, -2,     22
term,   1,  1,  0, -2, -2, -1,     23
rho1,   1,  1,  0, -2, -2, -2,     24
term,   1, -1,  0,  0, -2,  0,     25
term,   1, -1,  0,  0, -2, -1,     26
term,   1,  1,  1, -2, -2, -2,     27
term,   1, -2,  0, -2,  2, -2,     28
term,   1,  0, -1, -2,  0, -2,     29
term,   1,  0,  0, -2,  0,  0,     30
term,   1,  0,  0, -2,  0, -1,     31
O1  ,   1,  0,  0, -2,  0, -2,     32
term,   1, -2,  0,  0,  0,  0,     33
term,   1, -2,  0,  0,  0, -1,     34
term,   1,  0,  1, -2,  0, -2,     35
tau1,   1,  0,  0,  0, -2,  0,     36
term,   1,  0,  0,  0, -2, -1,     37
term,   1,  0,  1,  0, -2,  0,     38
term,   1, -1,  0, -2,  2, -1,     39
term,   1, -1,  0, -2,  2, -2,     40
term,   1,  1,  0, -2,  0, -1,     41
term,   1,  1,  0, -2,  0, -2,     42
term,   1, -1,  0,  0,  0,  1,     43
M1  ,   1, -1,  0,  0,  0,  0,     44
term,   1, -1,  0,  0,  0, -1,     45
chi1    1,  1,  0,  0, -2,  0,     46
term,   1,  1,  0,  0, -2, -1,     47
term,   1,  0, -2, -2,  2, -2,     48
pi1 ,   1,  0, -1, -2,  2, -2,     49
term,   1,  0,  0, -2,  2, -1,     50
P1  ,   1,  0,  0, -2,  2, -2,     51
term,   1,  0,  1, -2,  2, -2,     52
S1  ,   1,  0, -1,  0,  0,  0,     53
term,   1,  0,  0,  0,  0,  1,     54
K1  ,   1,  0,  0,  0,  0,  0,     55
term,   1,  0,  0,  0,  0, -1,     56
term,   1,  0,  0,  0,  0, -2,     57
psi1,   1,  0,  1,  0,  0,  0,     58
phi1,   1,  0,  0,  2, -2,  2,     59
term,   1,  0,  1,  2, -2,  2,     60
the1,   1, -1,  0,  0,  2,  0,     61
term,   1, -1,  0,  0,  2, -1,     62
term,   1,  1,  0,  0,  0,  1,     63
J1  ,   1,  1,  0,  0,  0,  0,     64
term,   1,  1,  0,  0,  0, -1,     65
term,   1, -1,  0,  2,  0,  2,     66
term,   1,  0, -1,  0,  2,  0,     67
SO1 ,   1,  0,  0,  0,  2,  0,     68
term,   1,  0,  0,  0,  2, -1,     69
term,   1,  2,  0,  0,  0,  0,     70
term,   1,  2,  0,  0,  0, -1,     71
OO1 ,   1,  0,  0,  2,  0,  2,     72
term,   1,  0,  0,  2,  0,  1,     73
term,   1,  0,  0,  2,  0,  0,     74
term,   1,  1,  0,  0,  2,  0,     75
term,   1, -1,  0,  2,  2,  2,     76
term,   1, -1,  0,  2,  2,  1,     77
term,   1,  3,  0,  0,  0,  0,     78
nu1 ,   1,  1,  0,  2,  0,  2,     79
term,   1,  1,  0,  2,  0,  1,     80
term,   1,  1,  0,  2,  0,  0,     81
term,   1,  0,  0,  2,  2,  2,     82
term,   1,  0,  0,  2,  2,  1,     83
term,   1,  2,  0,  2,  0,  2,     84
term,   1,  2,  0,  2,  0,  1,     85
term,   1,  1,  0,  2,  2,  2,     86
zero,   1,  1,  0,  0, -4, -1,     87
zero,   1,  1,  1,  0, -2, -1,     88
zero,   1,  1, -1,  0,  2,  0,     89
term,   2, -4,  0, -2,  0, -2,     90
term,   2, -2,  0, -2, -2, -2,     91
term,   2,  0,  0, -2, -4, -2,     92
term,   2, -3,  0, -2,  0, -2,     93
eps2,   2, -1,  0, -2, -2, -2,     94
term,   2, -1,  1, -2, -2, -2,     95
term,   2,  1,  0, -2, -4, -2,     96
term,   2, -2, -1, -2,  0, -2,     97
term,   2, -2,  0, -2,  0, -1,     98
2N2 ,   2, -2,  0, -2,  0, -2,     99
